number,S1,S2,S3,S4,S5,S6,S7,S8,S9,平均数,name,level,watch (a person),stand,walk,carry/hold (an object),sit,"ride (e.g., a bike, a car, a horse)",sail boat,listen to (a person),crouch/kneel,play musical instrument,dance,lie/sleep,run/jog,martial art,"drive (e.g., a car, a truck)",touch (an object),get up,bend/bow (at the waist),Badminton_playing,Gathering,Chess_playing,Three_wheeled motorcycling,Square_dancing,Street_vending_without_equipment,Street vending_with_equipment
26,3,3,2,3,4,3,4,5,2,3.22,026.csv,1,1719,1958,255,143,104,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
28,3,3,2,4,4,4,3,3,2,3.11,028.csv,1,3027,3300,787,210,149,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
32,2,2,2,3,2,3,2,2,2,2.22,032.csv,3,1093,661,1072,288,676,0,0,21,0,0,0,238,0,0,0,0,0,0,0,1,0,0,0,1,0
33,2,1,3,3,1,3,1,1,1,1.78,033.csv,1,3027,3326,1233,210,733,101,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,4,4,4,5,5,5,5,5,5,4.67,034.csv,2,929,1549,355,0,102,21,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,3,0,11,0
35,2,4,1,5,2,2,1,1,2,2.22,035.csv,2,500,606,1377,0,162,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
36,5,5,3,5,5,4,5,5,4,4.56,036.csv,2,3463,2183,2676,303,396,49,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,2
37,5,5,4,5,4,3,3,4,3,4,037.csv,3,2593,2859,911,141,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,4
39,4,5,5,5,5,4,4,4,5,4.56,039.csv,3,5621,5525,2264,224,174,0,0,5,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,4
40,2,2,1,2,3,3,4,3,5,2.78,040.csv,3,5918,6168,2402,224,175,0,0,5,0,0,67,0,8,1,0,0,0,0,0,0,0,0,1,0,0
41,4,2,1,5,4,5,4,4,3,3.56,041.csv,1,3465,3596,1760,210,967,253,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0
42,2,2,2,2,2,2,2,2,1,1.89,042.csv,3,508,516,405,181,191,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2,3,2,4,1,2,1,1,1,1.89,045.csv,1,3642,4271,2129,210,1041,300,0,104,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0
47,4,3,2,2,1,5,1,1,2,2.33,047.csv,2,385,485,290,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
48,2,1,3,3,1,3,2,3,1,2.11,048.csv,3,0,100,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
49,2,1,2,3,1,1,1,1,1,1.44,049.csv,1,96,159,420,0,99,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2,2,1,4,2,3,2,3,2,2.33,050.csv,3,1460,1779,2231,24,439,0,0,0,0,0,0,0,317,0,0,0,0,0,0,4,0,0,0,1,0
51,2,4,2,3,3,2,1,1,2,2.22,051.csv,2,2323,2079,409,7,733,0,0,434,0,0,0,0,0,0,0,69,0,0,0,0,3,0,0,0,0
52,2,2,2,3,2,1,1,1,1,1.67,052.csv,3,163,207,974,77,336,58,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2,3,3,3,3,1,1,1,1,2,055.csv,2,44,758,578,16,117,1,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,1,0
56,3,3,3,5,3,4,4,2,3,3.33,056.csv,1,729,420,1205,24,513,249,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0
